iter	Passed	Remaining
404	8840	12987
405	8857	12959
406	8876	12933
407	8892	12903
408	8912	12878
409	8929	12850
410	8947	12822
411	8965	12795
412	8983	12768
413	9005	12747
414	9026	12723
415	9049	12703
416	9071	12682
417	9092	12659
418	9117	12643
419	9137	12618
420	9165	12605
421	9188	12585
422	9212	12566
423	9231	12540
424	9251	12516
425	9270	12490
426	9289	12466
427	9308	12440
428	9327	12414
429	9344	12386
430	9364	12362
431	9379	12332
432	9399	12307
433	9417	12282
434	9437	12257
435	9452	12228
436	9469	12199
437	9487	12173
438	9507	12149
439	9530	12129
440	9568	12128
441	9605	12126
442	9622	12098
443	9640	12071
444	9665	12054
445	9683	12027
446	9704	12006
447	9728	11986
448	9753	11969
449	9779	11953
450	9800	11929
451	9818	11904
452	9841	11883
453	9860	11858
454	9878	11832
455	9901	11811
456	9915	11781
457	9928	11749
458	9945	11721
459	9961	11693
460	9979	11668
461	9997	11642
462	10013	11613
463	10028	11584
464	10040	11552
465	10054	11521
466	10066	11489
467	10082	11461
468	10096	11430
469	10109	11399
470	10121	11368
471	10136	11338
472	10151	11310
473	10165	11280
474	10177	11248
475	10191	11219
476	10204	11188
477	10218	11158
478	10230	11127
479	10244	11097
480	10257	11067
481	10272	11040
482	10285	11010
483	10307	10988
484	10323	10961
485	10338	10933
486	10351	10904
487	10364	10874
488	10378	10845
489	10392	10817
490	10406	10788
491	10419	10758
492	10434	10730
493	10449	10703
494	10467	10679
495	10483	10652
496	10497	10623
497	10512	10596
498	10529	10571
499	10548	10548
500	10568	10525
501	10586	10502
502	10607	10480
503	10634	10465
504	10654	10443
505	10675	10422
506	10696	10400
507	10719	10381
508	10739	10360
509	10759	10337
510	10781	10317
511	10800	10294
512	10821	10272
513	10838	10248
514	10858	10225
515	10877	10202
516	10893	10177
517	10932	10172
518	10950	10148
519	10967	10124
520	11045	10155
521	11077	10143
522	11120	10142
523	11183	10159
524	11257	10185
525	11329	10209
526	11394	10226
527	11438	10224
528	11460	10203
529	11481	10181
530	11501	10158
531	11525	10139
532	11555	10124
533	11592	10116
534	11614	10095
535	11639	10076
536	11692	10081
537	11799	10133
538	11838	10125
539	11859	10102
540	11905	10101
541	11976	10120
542	12011	10109
543	12042	10094
544	12061	10070
545	12194	10139
546	12306	10191
547	12328	10169
548	12351	10146
549	12372	10122
550	12395	10100
551	12415	10076
552	12437	10053
553	12454	10026
554	12469	9998
555	12487	9972
556	12503	9944
557	12522	9919
558	12543	9895
559	12559	9868
560	12574	9840
561	12595	9816
562	12612	9789
563	12637	9769
564	12686	9767
565	12731	9762
566	12766	9749
567	12811	9743
568	12854	9737
569	12882	9718
570	12918	9706
571	12941	9683
572	12973	9667
573	13003	9650
574	13034	9634
575	13071	9621
576	13105	9607
577	13129	9586
578	13150	9561
579	13230	9581
580	13260	9563
581	13291	9546
582	13311	9521
583	13332	9497
584	13360	9478
585	13380	9453
586	13401	9429
587	13426	9407
588	13452	9386
589	13473	9363
590	13494	9338
591	13516	9315
592	13538	9291
593	13555	9265
594	13574	9239
595	13594	9215
596	13613	9189
597	13636	9166
598	13653	9140
599	13671	9114
600	13689	9088
601	13707	9062
602	13722	9034
603	13740	9008
604	13774	8993
605	13790	8965
606	13804	8937
607	13817	8908
608	13830	8879
609	13845	8851
610	13861	8824
611	13891	8807
612	13926	8792
613	13951	8770
614	13976	8749
615	13999	8726
616	14019	8702
617	14037	8677
618	14058	8653
619	14082	8631
620	14104	8608
621	14130	8587
622	14147	8561
623	14202	8557
624	14264	8558
625	14298	8542
626	14321	8519
627	14343	8496
628	14361	8470
629	14380	8445
630	14401	8421
631	14418	8395
632	14438	8371
633	14458	8346
634	14478	8322
635	14497	8297
636	14513	8270
637	14531	8245
638	14550	8220
639	14569	8195
640	14587	8170
641	14605	8144
642	14623	8119
643	14644	8095
644	14662	8070
645	14682	8045
646	14702	8021
647	14721	7996
648	14741	7972
649	14761	7948
650	14779	7923
651	14795	7896
652	14811	7870
653	14828	7845
654	14844	7819
655	14860	7792
656	14879	7768
657	14899	7744
658	14916	7718
659	14933	7693
660	14949	7666
661	14965	7640
662	14981	7615
663	14998	7589
664	15013	7563
665	15030	7537
666	15047	7512
667	15066	7487
668	15083	7462
669	15099	7436
670	15113	7410
671	15130	7385
672	15147	7359
673	15162	7333
674	15178	7308
675	15195	7282
676	15212	7257
677	15229	7232
678	15244	7206
679	15259	7181
680	15276	7156
681	15292	7130
682	15309	7105
683	15325	7080
684	15341	7055
685	15356	7029
686	15373	7004
687	15390	6979
688	15405	6953
689	15420	6928
690	15437	6903
691	15452	6877
692	15467	6851
693	15481	6826
694	15497	6801
695	15513	6775
696	15529	6750
697	15545	6725
698	15562	6701
699	15578	6676
700	15595	6651
701	15611	6627
702	15627	6602
703	15643	6577
704	15659	6552
705	15673	6527
706	15687	6501
707	15702	6476
708	15719	6451
709	15734	6426
710	15749	6401
711	15762	6376
712	15776	6350
713	15790	6325
714	15805	6300
715	15821	6275
716	15836	6250
717	15850	6225
718	15865	6200
719	15885	6177
720	15902	6153
721	15916	6128
722	15932	6104
723	15947	6079
724	15962	6054
725	15977	6030
726	15991	6004
727	16006	5980
728	16020	5955
729	16033	5930
730	16045	5904
731	16057	5879
732	16073	5854
733	16085	5829
734	16100	5804
735	16112	5779
736	16125	5754
737	16142	5730
738	16157	5706
739	16170	5681
740	16184	5656
741	16201	5633
742	16220	5610
743	16239	5587
744	16258	5564
745	16276	5541
746	16291	5517
747	16305	5493
748	16320	5469
749	16337	5445
750	16351	5421
751	16365	5397
752	16378	5372
753	16393	5348
754	16409	5324
755	16424	5300
756	16439	5277
757	16452	5252
758	16466	5228
759	16480	5204
760	16494	5180
761	16508	5156
762	16523	5132
763	16537	5108
764	16550	5084
765	16566	5060
766	16581	5037
767	16594	5012
768	16608	4988
769	16623	4965
770	16639	4942
771	16653	4918
772	16666	4894
773	16680	4870
774	16694	4846
775	16713	4824
776	16727	4800
777	16742	4777
778	16757	4754
779	16771	4730
780	16787	4707
781	16802	4684
782	16817	4660
783	16833	4637
784	16849	4614
785	16867	4592
786	16884	4569
787	16900	4546
788	16914	4523
789	16930	4500
790	16946	4477
791	16960	4454
792	16975	4431
793	16991	4408
794	17007	4385
795	17021	4362
796	17036	4339
797	17052	4316
798	17067	4293
799	17084	4271
800	17100	4248
801	17116	4225
802	17132	4203
803	17149	4180
804	17164	4157
805	17181	4135
806	17195	4112
807	17209	4089
808	17223	4066
809	17237	4043
810	17250	4020
