iter	RMSE
929	66843.40022
930	66832.6781
931	66814.96659
932	66797.56467
933	66770.25759
934	66761.03123
935	66726.33082
936	66705.09781
937	66675.36604
938	66662.19546
939	66636.6702
940	66588.20767
941	66565.26235
942	66536.36495
943	66520.56725
944	66489.51278
945	66456.91494
946	66419.67865
947	66400.72854
948	66383.63315
949	66349.69302
950	66328.19652
951	66296.38372
952	66275.50812
953	66244.76386
954	66217.96592
955	66188.83125
956	66168.47307
957	66154.8551
958	66135.12653
959	66124.13225
960	66101.67296
961	66077.20386
962	66037.17702
963	66010.37313
964	65989.93401
965	65972.33536
966	65959.0959
967	65942.203
968	65930.01072
969	65913.04259
970	65888.70656
971	65862.90377
972	65846.3298
973	65836.84125
974	65816.62174
975	65790.85716
976	65761.15965
977	65730.64584
978	65712.91114
979	65692.50391
980	65672.15367
981	65662.8223
982	65653.33202
983	65637.97152
984	65620.33875
985	65604.62043
986	65596.50786
987	65581.81015
988	65549.04914
989	65520.30572
990	65510.17368
991	65483.64164
992	65461.87772
993	65437.62516
994	65412.48144
995	65388.95418
996	65367.83877
997	65344.35839
998	65325.73363
999	65311.97411
